DeFi Whiz A,0x78e96be52e38b3fc3445a2ed34a6e586ffab9631, - 
shnuggly.eth,0x733428f811d11940ed1168dcc57e21a5660c8f68, - 
luggisdoteth,0x2079c29be9c8095042edb95f293b5b510203d6ce, - 
Analytico,0xa0f75491720835b36edc92d06ddc468d201e9b73, - 
DeFi Whiz B,0x875abe6f1e2aba07bed4a3234d8555a0d7656d12, - 
DeFi Whiz C,0x274d9e726844ab52e351e8f1272e7fc3f58b7e5f, - 
flomp,0xee2826453a4fd5afeb7ceffeef3ffa2320081268, - 
DeFi Whiz D,0x25431341a5800759268a6ac1d3cd91c029d7d9ca, - 
DeFi Whiz E,0x2c03d6aba12b3f33655184488492f164aeff6098, - 
DeFi Whiz F,0x70d893a548cc1de10f6e053fc638f702c298f549, - 
greenpeak.eth,0x7ba7f4773fa7890bad57879f0a1faa0edffb3520, - 
DeFi Whiz G,0x966cf5cd0624f1efcf21b0abc231a5ccc802b861, - 
dingalingg,0x54be3a794282c030b15e43ae2bb182e14c409c5e, - 
DeFi Whiz H,0xece09032ef138573714beec20aacdd10f76b2b8a, - 
YFImaxi,0x50664ede715e131f584d3e7eaabd7818bb20a068, - 
DeFi Whiz I,0x230cef50d746624aab59597e0031fbb47b7d466f, - 
hello_world,0x45c2700a0b0e84fffffc74dbe4ca415bc940f93d, - 
jagged,0x8888888888e9997e64793849389a8faf5e8e547c, - 
DeFi Whiz J,0xc72aed14386158960d0e93fecb83642e68482e4b, - 
ananda.eth*,0x2de640a18fe3480aa802aca91f70177ada103391, - 
DeFi Whiz K,0xf4ca35df279677654515d41aca6bc75e79731a4b, - 
MachiBigBrother,0x020ca66c30bec2c4fe3861a94e4db4a498a35872, machibigbrother 
rogerlim.eth,0x287e2c76aab4720786076c3deedd7dd386092050, - 
rektfc1,0x93f5af632ce523286e033f0510e9b3c9710f4489, rektfc1 
PennilessWassie,0x9c5083dd4838e120dbeac44c052179692aa5dac5, PageTheMage 
stitevoli.eth,0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec, EthStitevo76592 
0x3689c.eth,0x3689c216f8f6ce7e2ce2a27c81a23096a787f532, 0x3689c 
Akhenaten,0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c, akhenaten_sol 
Colburn,0xf75200b7684a120fba433145609112616749c082, - 
maisonlambert,0x3acb5eaecfab99d01e86f7068ae7b90479fb50e9, - 
xvx.eth,0x4ffe2f674c4afa078554cb2e5a6a672452b6c290, xvx_eth 
Stani Kulechov,0xf5fb27b912d987b5b6e02a1b1be0c1f0740e2c6f, StaniKulechov 
downbad,0xf2c06f90fb58844c09220e01e3116a2293df6960, sungjae_han 
denz.eth,0xbf26925f736e90e1715ce4e04cd9c289dd1bc002, denzelpepewash 
sifu,0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77, 0xSifu 
