Name,Address,Portfolio,Protocol Worth,Token Worth,Utilization,Protocol Count
cp0x_1,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,2391296.001776874,2306170.568509383,82667.33413212324,96.44,279
YieldMaxi,0xbe7019f8333b0b3cfc707ac353ebc2123140134c,2291640.3442188497,2051965.378215174,254367.65657179078,89.54,48
hime,0xd0e72c1b2eb87e3dc0445b7f689cadcfc872b293,2262804.742912132,2228870.5155427414,54812.83861521772,98.50,67
0x54,0x54dc6782d6fc5fc05f8486d365186ff25cc44ba7,2241719.57801915,924041.7823965464,1352751.791594749,41.22,53
kimpercy,0x5d2f29aa18aef827317c48bd2b4f05fa24880038,2161920.915988221,1985404.2048942896,186877.682313786,91.84,63
Tson,0xd6cb7a7b544e24e5160a948a16c45b1096276f9d,2097646.982512301,2045481.8393030192,60389.711744738546,97.51,134
invictus369,0x854f1269b659a727a2268ab86ff77cfb30bfb358,2096741.55323024,1882475.4342155682,222494.20058057585,89.78,76
Ramalinga,0x3ccc596a2be298ff9e94bc583bc1de6429cd0f0a,1920316.5032958114,1912625.1215616784,8737.813978264548,99.60,23
Nyanpasu,0x192820ce84fa9eb457fb228c386fe0ed22f7e33c,1827052.3555897602,1182478.0857346451,652330.8667285888,64.72,30
QUID,0x0228028a0c92cfd9743e561a96b16edbb4606054,1799718.8533272767,1384008.2566269322,230653.0940631148,76.90,17
CryptoCat,0x0a5e1db3671faccd146404925bda5c59929f66c3,1790798.1919125533,1791006.5691603217,14169.459092402103,100.01,16
nelsonmandela,0x90c0bf8d71369d21f8addf0da33d21dcb0b1c384,1714698.994466651,1612921.4843155155,110741.55959806153,94.06,291
Fact_or_Fiction,0x908d8d559a6fb979e3c3221039e5b8c3c5c2e91a,1695919.2410765996,1698937.0694989716,7446.729359173728,100.18,49
_hjkl_,0xfd3f8cf91a37f93890a90d0eb1d6e911349766bc,1664010.8628313607,1664107.0211343889,2631.2898349822235,100.01,16
Taliba,0x6595a41a2ebe230522076c544fb2de11a6666226,1649997.552435257,1578262.8130907817,74818.18893034576,95.65,98
nemo,0xef80c44d996ebac95aa62589986fb3fcdfe3f7d9,1534861.5120950828,1305866.3793498885,242692.5498975595,85.08,45
kirby,0x6cd68e8f04490cd1a5a21cc97cc8bc15b47dc9eb,1528548.9845106963,687752.3796623527,848898.7194309444,44.99,71
0xMe,0x4cd6b970f42b41ee58c2e4b7ab99863d5ae52a23,1476768.197190786,1659281.7095333214,99373.19527890459,112.36,68
TrustlessYield,0xbd8abb29e0df0f4392add4fdf653038b6fce76ee,1475012.9551195926,517178.1302773159,976126.2664920951,35.06,22
0xLaw,0x2278a9463774fc0b538b7d52087a00405ca9e1ac,1447433.3177492155,1450424.685710885,549.9177272396952,100.21,82
ethstable,0x5388a7f24e86c9c9d855a98c2f5a339afa6a3acc,1399307.500858345,1379921.3834844278,27395.206594958523,98.61,67
6c525,0x8ce17ff2c7376e9adfe9c63c47a801097fa6c525,1378315.121165943,1301596.7737279898,115811.1238062623,94.43,55
Enerow,0x0edefa91e99da1eddd1372c1743a63b1595fc413,1370238.1199221138,1300974.8522374479,70376.05998950767,94.95,16
canon,0xa57c927df5b836d203560a5b568af75831939eed,1301119.4501271364,1311621.1121148595,1082.340916961609,100.81,39
Disruption,0x4d26f0e78c154f8fda7acf6646246fa135507017,1254560.1103378704,680546.0648725678,577951.9330830555,54.25,170
VY100,0x87f16c31e32ae543278f5194cf94862f1cb1eee0,1227759.8882371807,1225826.674091083,3625.019255725139,99.84,50
SungilYou,0x1d214979316b66b5760b142b63b63506506189b4,1189469.8250438194,1192982.4660786623,1325.376212737527,100.30,35
BuyXMR,0x87fbd42df33ca8385ae30315b4b3c3ab5b73f51c,1180706.9461030206,1140415.4250087952,49107.92412776485,96.59,12
llanero,0xd28a4c5b3685e5948d8a57f124669eafb69f05bb,1139573.0530128228,232257.1215469544,915135.1697419218,20.38,20
TycoonT,0x0b0e3ebe78b965bd0ae25a7c5c1cc8cff23a07e7,1093485.5640367721,1010454.3422275332,81006.81002442983,92.41,11
newwanger_eth,0xc0567a6fe0f3083603d639c8233024e8bd1926d6,1038181.4420362877,1026723.4548521073,18902.692145760946,98.90,14
Memob,0x3dc468779c943f50b6cc5158b4c0247698fd51cf,1026612.7337203313,400593.6538896486,630810.8778573023,39.02,58
DegenPanda,0x73051a64044fea61a6100eb0b55c9087be32cca3,1014577.2593348279,855005.7852946694,156117.27830701138,84.27,96
AbsolutaDigital,0x294fd17c700331aad5cc480400050e1005d2c531,1013544.2335402174,924992.7531803846,97168.083256422,91.26,55
Super_Chad,0xdd9bf0a45452a4f22cfd2c963c15b191d97ce106,976873.5422285548,895091.3278033402,86049.51013033991,91.63,38
Shmink,0xc612bda4a16c9dd2054e23e0bb5f16b8b073271d,963569.2713313528,973016.6059213892,4903.803334368745,100.98,31
AforAbel,0x4fe23e87d977ea6484b01915ccd2746335e55dfc,948658.2945382693,959103.4398208603,1779.0549541996934,101.10,50
Gekko,0xb72ed8401892466ea8af528c1af1d0524bc5e105,933810.1770711244,802896.1946201657,136645.29423597746,85.98,47
ETH_Believer,0x1395f53b0472827c78964316a7f5595f302e10c9,933757.1429919564,641401.7455112624,290482.8683335654,68.69,49
schoad,0x0eb21ed8543789c79bed81d85b13ea31e7ac805b,932809.9812157191,609556.4722755175,332863.1956795757,65.35,30
mig79,0x03104c9661f97a1a882a797964f46d968d518126,919238.7864265873,826805.8262291801,103033.92527686212,89.94,149
Pseudon,0xb7fa2214c79cabc24cb270f57d52b83a2a7fedd8,881245.795113384,696448.4200723955,186250.0950643113,79.03,15
FantomIndia,0x7903d1053ebdbe1f50783752f3b0d834213a799a,846996.2935098958,801319.3689006513,48892.961763049454,94.61,27
NOPEtoken,0x12d6d6cdfcb85411a7a0e2276c436d239cc6dc41,843193.0563335177,393036.27083422535,481313.4468258064,46.61,7
love2bluff,0x2068d14ee50772dd6e89c6f64f32adad0cc936ef,818657.8928714835,473086.57728187495,347329.3195521067,57.79,151
yieldfarming,0x473d3a2005499301dc353afa9d0c9c5980b5188c,815117.1833494644,814798.4738176254,10572.426711438353,99.96,110
Maxmustang69,0x894b87dfb9e79082d2d0ac7c16ce40658afd42d1,812667.2706706024,679885.4147709915,138627.0931638937,83.66,72
Dinglecrypto,0xa6e3475e2d4a9937b61be131407598ed188b54f3,804052.37974958,794767.5991204653,21152.604590247818,98.85,37
blockpoint,0x1ed939ef096bab6d68657ea9c1fdf534ead267d6,802046.0108632816,558857.6458481415,196951.17493566527,69.68,24
BrownianMotion,0xfe13c6d06121a27cae69e634ac25e8d3316d3048,782968.3228866695,758108.7479814087,27781.180546238058,96.82,50
omanizen,0xcb726f13479963934e91b6f34b6e87ec69c21bb9,774263.5869038753,751537.4544604315,26291.336381466328,97.06,68
Airin920,0xff3fc772434505abff38eecde3c689d4b0254528,769224.9085287312,605197.8793767568,166882.93013598138,78.68,78
DeFiVault,0x505d981b8d0df243f06f8a8b49d7d514dab98552,765059.5306990875,594620.2091696957,172768.68990258852,77.72,34
